variable,mean,std,min,max,length,filename
W8_CleanTan,-0.06757142857142857,0.17845511180956342,-0.92,0.14,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W8_Cross,0.25447619047619047,0.15551415543429484,0.04,0.58,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W9_Speed,0.7585714285714287,0.13286629298413707,0.5,0.9,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W9_Tangent,-0.4553809523809524,0.12597598927846018,-0.65,-0.26,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W9_Turbulence,0.134,0.0691589944054787,0.01,0.26,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W9_CleanTan,-0.4553809523809524,0.12597598927846018,-0.65,-0.26,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W9_Cross,0.3657619047619048,0.15768249995041586,0.03,0.63,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W10_Speed,0.6957142857142858,0.215501449912893,0.4,1.2,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W10_Tangent,-0.5141428571428571,0.21814678033769366,-0.99,-0.12,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W10_Turbulence,0.17104761904761906,0.12785625757842062,0.0,0.46,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W10_CleanTan,-0.5141428571428571,0.21814678033769366,-0.99,-0.12,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W10_Cross,0.3926190476190476,0.14826039945627936,0.09,0.6,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W11_Speed,0.8209523809523811,0.13391080234519756,0.6,1.1,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W11_Tangent,-0.7636190476190476,0.15033056914090154,-1.04,-0.6,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W11_Turbulence,0.15580952380952381,0.08961673793145734,0.0,0.34,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
