dict_id,length,Speed hor. [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
65. point,228.21668322013622,92.703,2.0,1.88,0.17,1.88,0.61,1.3,1.27,0.33,1.27,0.23,2.1,1.94,0.05,1.94,0.73,2.1,2.0,0.01,2.0,0.41,1.7,1.56,0.04,1.56,0.23,1.7,1.28,0.3,1.28,1.13,3.2,3.06,0.17,3.06,0.82,1.8,1.52,0.6,1.52,0.84,2.7,2.54,0.23,2.54,0.78,2.1,1.99,0.58,1.99,0.62,2.6,2.31,0.13,2.31,1.2,2.4,2.31,0.11,2.31,0.46
65. point,197.485720496445,90.774,1.9,1.8,0.01,1.8,0.27,1.7,1.67,0.04,1.67,0.22,1.6,1.56,0.17,1.56,0.07,1.4,1.33,0.04,1.33,0.46,1.6,1.55,0.04,1.55,0.01,1.6,1.5,0.05,1.5,0.65,1.3,1.0,0.05,1.0,0.31,1.3,1.09,0.32,1.09,0.76,1.1,0.17,0.06,0.17,1.0,1.1,1.1,0.11,1.1,0.29,1.3,0.87,0.06,0.87,0.86,0.5,0.29,0.02,0.29,0.33
65. point,194.9921742019407,88.544,2.6,2.42,0.13,2.42,0.76,1.4,1.39,0.07,1.39,0.25,1.8,1.77,0.14,1.77,0.18,2.1,2.04,0.16,2.04,0.26,1.2,1.22,0.03,1.22,0.15,2.4,1.65,0.32,1.65,1.7,2.2,2.22,0.41,2.22,0.17,2.4,2.01,0.25,2.01,1.12,1.8,1.79,0.05,1.79,0.33,1.7,1.57,0.26,1.57,0.61,1.8,1.73,0.39,1.73,0.2,1.4,1.18,0.04,1.18,0.74
65. point,226.97186499652332,94.535,0.9,0.27,0.13,0.27,0.78,0.3,0.18,0.09,0.18,0.22,0.8,0.02,0.02,0.02,0.71,1.1,0.75,0.35,0.75,0.32,1.6,0.39,0.3,0.39,1.44,0.9,-0.8,0.01,-0.8,0.03,1.4,-0.1,0.35,-0.1,1.41,1.1,-0.4,0.46,-0.4,1.02,0.7,-0.47,0.0,-0.47,0.49,0.8,-0.5,0.09,-0.5,0.66,0.5,-0.26,0.07,-0.26,0.38,0.7,0.72,0.16,0.72,0.16
65. point,207.53052835667336,95.065,0.9,0.38,0.08,0.38,0.69,1.0,0.68,0.24,0.68,0.51,0.7,0.38,0.07,0.38,0.64,1.4,-0.22,0.04,-0.22,1.33,1.0,0.2,0.07,0.2,0.96,1.0,-0.95,0.15,-0.95,0.15,1.5,-0.28,0.0,-0.28,1.48,2.4,0.4,0.23,0.4,2.35,0.3,0.0,0.15,0.0,0.07,0.7,0.54,0.02,0.54,0.42,0.5,-0.37,0.07,-0.37,0.17,1.0,-0.74,0.09,-0.74,0.6
65. point,202.20551550341054,95.421,1.2,0.44,0.16,0.44,1.09,0.3,-0.29,0.19,-0.29,0.08,1.0,0.28,0.02,0.28,0.98,1.8,0.43,0.21,0.43,1.72,0.7,-0.01,0.43,-0.01,0.73,1.8,0.23,0.18,0.23,1.73,2.2,0.16,0.18,0.16,2.15,1.3,0.34,0.12,0.34,1.26,1.2,-0.42,0.24,-0.42,1.08,0.9,-0.68,0.15,-0.68,0.52,0.8,0.42,0.11,0.42,0.66,1.0,-0.92,0.08,-0.92,0.32
65. point,198.22699765672687,94.474,0.7,0.41,0.08,0.41,0.48,1.1,-0.47,0.02,-0.47,0.95,0.9,-0.28,0.0,-0.28,0.82,1.8,-0.82,0.18,-0.82,1.6,0.4,0.0,0.06,0.0,0.24,2.6,-1.14,0.29,-1.14,2.38,0.6,0.3,0.28,0.3,0.02,1.4,-0.59,0.22,-0.59,1.23,1.3,-0.01,0.17,-0.01,1.25,1.4,-0.3,0.24,-0.3,1.34,0.2,0.09,0.06,0.09,0.2,1.5,-1.4,0.26,-1.4,0.33
65. point,212.77754275298884,94.224,1.1,-0.01,0.13,-0.01,1.0,1.8,1.46,0.11,1.46,0.7,1.1,0.81,0.08,0.81,0.67,1.5,0.99,0.27,0.99,1.06,1.4,0.54,0.03,0.54,1.24,0.6,-0.03,0.2,-0.03,0.57,2.8,0.1,0.14,0.1,2.73,1.9,-0.25,0.03,-0.25,1.85,1.0,-0.46,0.23,-0.46,0.87,1.9,-1.16,0.43,-1.16,1.53,0.7,-0.21,0.12,-0.21,0.66,1.8,-1.44,0.69,-1.44,0.98
65. point,188.19160980235011,94.937,1.2,0.32,0.15,0.32,1.13,0.3,0.09,0.02,0.09,0.16,0.6,0.34,0.15,0.34,0.08,1.2,-0.56,0.0,-0.56,0.93,1.8,-0.45,0.6,-0.45,1.64,2.0,-0.5,0.0,-0.5,1.78,1.5,0.22,0.04,0.22,1.45,0.4,-0.07,0.14,-0.07,0.41,0.9,-0.57,0.26,-0.57,0.35,0.9,-0.74,0.14,-0.74,0.4,0.5,-0.45,0.03,-0.45,0.15,1.1,0.27,0.12,0.27,0.98
65. point,220.59274557428222,96.092,1.0,0.32,0.3,0.32,0.92,0.2,0.11,0.09,0.11,0.12,1.0,-0.17,0.03,-0.17,0.98,1.7,0.76,0.14,0.76,1.53,0.8,0.03,0.06,0.03,0.75,0.6,-0.51,0.36,-0.51,0.18,2.5,0.45,0.0,0.45,2.37,1.5,0.33,0.4,0.33,1.29,1.4,-1.27,0.04,-1.27,0.64,1.1,-0.97,0.21,-0.97,0.33,0.7,-0.62,0.02,-0.62,0.08,0.2,-0.15,0.26,-0.15,0.08
