dict_id,length,Speed hor. [km/h],W1_Speed,W1_Tangent,W1_Turbulence,W1_CleanTan,W1_Cross,W2_Speed,W2_Tangent,W2_Turbulence,W2_CleanTan,W2_Cross,W3_Speed,W3_Tangent,W3_Turbulence,W3_CleanTan,W3_Cross,W4_Speed,W4_Tangent,W4_Turbulence,W4_CleanTan,W4_Cross,W5_Speed,W5_Tangent,W5_Turbulence,W5_CleanTan,W5_Cross,W6_Speed,W6_Tangent,W6_Turbulence,W6_CleanTan,W6_Cross,W7_Speed,W7_Tangent,W7_Turbulence,W7_CleanTan,W7_Cross,W8_Speed,W8_Tangent,W8_Turbulence,W8_CleanTan,W8_Cross,W9_Speed,W9_Tangent,W9_Turbulence,W9_CleanTan,W9_Cross,W10_Speed,W10_Tangent,W10_Turbulence,W10_CleanTan,W10_Cross,W11_Speed,W11_Tangent,W11_Turbulence,W11_CleanTan,W11_Cross,W12_Speed,W12_Tangent,W12_Turbulence,W12_CleanTan,W12_Cross
10. point,196.2939583889428,99.561,0.5,0.27,0.15,0.27,0.39,1.4,1.36,0.23,1.36,0.0,1.8,1.53,0.02,1.53,0.74,1.8,1.03,0.11,1.03,1.43,1.9,0.75,0.18,0.75,1.78,1.8,1.07,0.03,1.07,1.45,0.9,-0.31,0.14,-0.31,0.79,1.6,-0.31,0.15,-0.31,1.54,2.1,-1.99,0.44,-1.99,0.61,1.5,-1.24,0.19,-1.24,0.87,1.3,-0.28,0.04,-0.28,1.21,1.8,-1.27,0.1,-1.27,1.2
10. point,210.1301896444202,97.725,1.1,0.29,0.1,0.29,0.91,1.1,0.69,0.03,0.69,0.8,1.3,1.04,0.09,1.04,0.62,1.6,1.34,0.01,1.34,0.76,2.4,1.65,0.23,1.65,1.52,2.2,0.43,0.41,0.43,2.13,1.8,0.69,0.41,0.69,1.68,1.9,-0.62,0.13,-0.62,1.7,2.0,-0.25,0.07,-0.25,1.9,1.3,-0.81,0.21,-0.81,0.95,1.0,0.84,0.32,0.84,0.31,0.9,-0.59,0.09,-0.59,0.67
10. point,191.08984405247705,97.401,0.8,0.75,0.03,0.75,0.14,0.8,-0.41,0.02,-0.41,0.66,0.2,0.02,0.05,0.02,0.2,0.6,-0.57,0.11,-0.57,0.24,0.6,-0.52,0.09,-0.52,0.27,0.8,-0.67,0.02,-0.67,0.39,0.2,0.1,0.27,0.1,0.13,0.8,-0.75,0.04,-0.75,0.02,0.8,-0.51,0.09,-0.51,0.54,1.3,-1.11,0.29,-1.11,0.04,0.4,0.24,0.02,0.24,0.29,1.5,-1.38,0.38,-1.38,0.09
10. point,185.18171913015607,97.215,0.6,-0.13,0.02,-0.13,0.46,1.0,-0.76,0.22,-0.76,0.61,0.6,-0.29,0.05,-0.29,0.44,1.6,1.43,0.05,1.43,0.02,2.7,0.9,0.16,0.9,2.48,2.2,-2.02,0.09,-2.02,0.87,1.5,1.02,0.53,1.02,1.16,2.4,-1.62,0.06,-1.62,1.79,2.1,-1.93,0.48,-1.93,0.8,1.8,-1.7,0.25,-1.7,0.46,1.2,-0.85,0.03,-0.85,0.82,0.4,0.08,0.11,0.08,0.42
10. point,171.8737126497243,96.714,0.9,-0.31,0.26,-0.31,0.58,1.9,-1.29,0.16,-1.29,1.42,0.9,-0.2,0.0,-0.2,0.88,2.0,-1.68,0.41,-1.68,0.85,1.1,-0.41,0.06,-0.41,0.97,0.7,-0.61,0.07,-0.61,0.3,1.6,0.33,0.06,0.33,1.42,2.0,-1.56,0.03,-1.56,1.3,1.3,0.61,0.33,0.61,1.13,0.2,-0.01,0.16,-0.01,0.2,1.0,0.81,0.05,0.81,0.49,1.3,-1.26,0.13,-1.26,0.4
10. point,209.02252964692585,97.68,0.7,0.57,0.1,0.57,0.36,2.1,1.94,0.18,1.94,0.52,1.2,0.7,0.07,0.7,1.01,1.0,0.1,0.36,0.1,0.98,1.0,0.26,0.05,0.26,0.92,0.7,-0.65,0.31,-0.65,0.33,1.1,-0.06,0.3,-0.06,1.07,1.4,0.62,0.48,0.62,0.82,1.2,0.15,0.09,0.15,1.07,1.4,-1.11,0.01,-1.11,0.65,0.4,-0.32,0.21,-0.32,0.2,2.4,0.4,0.62,0.4,1.69
10. point,186.48818166307484,98.75,0.3,-0.15,0.09,-0.15,0.29,0.6,-0.44,0.1,-0.44,0.36,1.0,0.7,0.09,0.7,0.52,1.2,0.53,0.4,0.53,1.08,0.4,-0.2,0.14,-0.2,0.2,1.5,-0.72,0.0,-0.72,1.26,0.8,0.06,0.11,0.06,0.61,1.0,-0.8,0.28,-0.8,0.53,0.7,-0.43,0.04,-0.43,0.54,0.8,-0.75,0.19,-0.75,0.28,1.2,-1.06,0.4,-1.06,0.11,0.3,0.1,0.26,0.1,0.16
10. point,181.35469500401692,95.53,2.0,1.93,0.34,1.93,0.4,1.7,1.66,0.24,1.66,0.11,1.2,1.17,0.08,1.17,0.29,1.2,1.24,0.06,1.24,0.04,1.1,0.98,0.0,0.98,0.44,1.0,1.05,0.17,1.05,0.0,1.0,0.52,0.08,0.52,0.73,0.6,0.41,0.05,0.41,0.49,0.8,-0.21,0.02,-0.21,0.8,0.6,0.1,0.11,0.1,0.47,1.0,0.36,0.03,0.36,0.89,0.6,0.48,0.13,0.48,0.17
10. point,186.14512026910617,94.011,2.6,2.46,0.46,2.46,0.55,1.9,1.86,0.27,1.86,0.02,1.9,1.78,0.35,1.78,0.33,1.7,1.68,0.04,1.68,0.16,2.0,1.83,0.26,1.83,0.88,1.9,1.62,0.04,1.62,1.0,2.5,2.43,0.12,2.43,0.46,2.2,2.05,0.23,2.05,0.83,1.7,1.54,0.02,1.54,0.66,1.0,0.97,0.05,0.97,0.16,0.9,0.46,0.04,0.46,0.76,1.7,0.74,0.1,0.74,1.51
10. point,138.3992850415059,95.662,0.3,-0.24,0.04,-0.24,0.18,0.3,-0.03,0.04,-0.03,0.29,0.3,0.13,0.15,0.13,0.32,0.1,-0.03,0.51,-0.03,0.09,1.1,0.1,0.02,0.1,1.06,0.8,0.71,0.21,0.71,0.04,1.7,1.13,0.15,1.13,0.63,0.7,0.7,0.05,0.7,0.16,1.0,0.37,0.22,0.37,0.93,0.6,0.56,0.06,0.56,0.32,1.0,-0.08,0.15,-0.08,0.86,0.4,0.29,0.03,0.29,0.04
10. point,185.05998405922335,96.914,1.6,1.57,0.04,1.57,0.23,0.9,0.74,0.03,0.74,0.46,0.9,0.87,0.01,0.87,0.1,0.8,0.59,0.2,0.59,0.34,1.2,1.06,0.1,1.06,0.28,0.9,0.89,0.13,0.89,0.06,1.0,0.75,0.13,0.75,0.6,0.3,-0.13,0.03,-0.13,0.08,0.8,-0.42,0.04,-0.42,0.63,0.5,0.08,0.05,0.08,0.41,0.4,0.14,0.04,0.14,0.35,0.9,-0.26,0.12,-0.26,0.86
10. point,165.4204334415794,94.72,1.3,1.24,0.11,1.24,0.05,0.9,0.79,0.13,0.79,0.43,0.5,-0.09,0.05,-0.09,0.04,1.1,0.92,0.23,0.92,0.48,0.9,0.75,0.1,0.75,0.52,0.7,0.67,0.19,0.67,0.29,0.6,0.13,0.06,0.13,0.57,0.9,0.81,0.14,0.81,0.26,1.8,0.76,0.15,0.76,1.61,0.5,0.31,0.08,0.31,0.19,0.6,-0.03,0.08,-0.03,0.57,0.8,0.74,0.21,0.74,0.1
10. point,117.90960859912987,94.566,1.6,1.48,0.04,1.48,0.37,1.5,1.42,0.04,1.42,0.22,1.8,1.71,0.47,1.71,0.38,1.8,1.82,0.14,1.82,0.08,1.8,1.76,0.33,1.76,0.44,2.7,2.45,0.21,2.45,1.09,2.0,1.86,0.04,1.86,0.81,3.1,3.11,0.39,3.11,0.3,2.2,2.08,0.08,2.08,0.82,0.9,0.94,0.56,0.94,0.09,2.1,0.96,0.1,0.96,1.91,1.4,1.16,0.18,1.16,0.08
10. point,212.84268509864276,92.865,1.3,1.31,0.02,1.31,0.07,2.0,1.9,0.08,1.9,0.36,1.6,1.59,0.3,1.59,0.02,1.9,1.74,0.21,1.74,0.82,1.4,1.36,0.1,1.36,0.14,2.1,1.83,0.31,1.83,1.02,2.4,2.45,0.26,2.45,0.1,2.0,1.73,0.09,1.73,0.97,2.0,1.93,0.09,1.93,0.48,2.0,1.9,0.13,1.9,0.4,2.2,2.04,0.07,2.04,0.74,1.5,1.39,0.07,1.39,0.63
10. point,194.77093520338195,95.9,0.9,0.8,0.34,0.8,0.03,0.8,0.29,0.11,0.29,0.67,1.4,1.31,0.16,1.31,0.36,0.8,0.54,0.05,0.54,0.57,1.8,1.47,0.23,1.47,0.98,1.5,1.51,0.03,1.51,0.09,2.4,2.25,0.2,2.25,0.66,1.4,1.3,0.14,1.3,0.26,2.0,1.98,0.22,1.98,0.26,0.8,0.22,0.56,0.22,0.41,2.1,1.78,0.1,1.78,1.08,2.7,2.67,0.11,2.67,0.53
10. point,172.05544629566367,94.991,0.9,0.75,0.1,0.75,0.1,0.7,0.7,0.0,0.7,0.01,0.9,0.84,0.28,0.84,0.41,1.3,0.81,0.06,0.81,1.0,1.3,1.2,0.28,1.2,0.37,1.0,0.52,0.26,0.52,0.85,2.2,1.69,0.34,1.69,1.37,2.0,1.3,0.41,1.3,1.45,1.1,0.83,0.1,0.83,0.57,1.2,0.89,0.04,0.89,0.83,1.1,0.67,0.38,0.67,0.83,0.9,0.74,0.04,0.74,0.59
10. point,195.01349312291188,94.691,2.2,2.11,0.53,2.11,0.47,0.8,0.55,0.12,0.55,0.6,2.6,2.53,0.31,2.53,0.32,1.6,1.4,0.22,1.4,0.8,1.3,0.9,0.02,0.9,0.88,1.9,1.87,0.28,1.87,0.36,2.2,2.08,0.11,2.08,0.67,1.7,1.16,0.19,1.16,0.97,1.4,1.34,0.12,1.34,0.2,1.9,1.41,0.22,1.41,1.22,1.5,1.39,0.22,1.39,0.48,1.3,1.1,0.18,1.1,0.61
